aeropuerto,anio,mes,nacional,internacional,total
CZM,2025,8,25805,18346,44151
CZM,2025,9,22447,11394,33841
CZM,2025,10,22169,19205,41374
CZM,2025,11,22821,29747,52568
CZM,2025,12,21077,39069,60146
CZM,2026,1,21411,46550,67961
CZM,2026,2,16151,46668,62819
CZM,2026,3,19199,53059,72258
CZM,2026,4,23333,33777,57110
CZM,2026,5,24445,24988,49433
CZM,2026,6,21817,25858,47675
